text,label
"I love this product, it works wonderfully and exceeded my expectations.",positive
This is the worst purchase I've made. Totally disappointed.,negative
"The service was okay, not great but not terrible either.",neutral
"Absolutely fantastic experience, will buy again!",positive
"Broke after two days, very poor quality.",negative
Delivery was late but the product is decent.,neutral
I'm extremely happy with the performance.,positive
Terrible customer support and faulty item.,negative
It's acceptable for the price.,neutral
Exceeded my expectations in every way.,positive
Do not recommend — it stopped working quickly.,negative
Average. Nothing special.,neutral
